ASMID,ORIG SPECIES,MODIFIED SPECIES,ORIG STRAIN,MODIFIED STRAIN
GCA_016164145.2_USDA_MAFF727510_v2,Fusarium oxysporum f. sp. fragariae,Fusarium oxysporum f. sp. fragariae,MAFF727510,MAFF727510
GCA_016164105.1_USDA_MAFF744009_v1,Fusarium oxysporum f. sp. fragariae,Fusarium oxysporum f. sp. fragariae,MAFF744009,MAFF744009
GCA_016163975.1_USDA_N-17203_v1,Fusarium oxysporum f. sp. fragariae,Fusarium oxysporum f. sp. fragariae,N-17203,N-17203
GCA_016163965.1_USDA_N-18462_v1,Fusarium oxysporum f. sp. fragariae,Fusarium oxysporum f. sp. fragariae,N-18462,N-18462
GCA_016163875.1_USDA_NRF0806_v1,Fusarium oxysporum f. sp. fragariae,Fusarium oxysporum f. sp. fragariae,NRF0806,NRF0806
GCA_016163855.1_USDA_NRF0833_v1,Fusarium oxysporum f. sp. fragariae,Fusarium oxysporum f. sp. fragariae,NRF0833,NRF0833
GCA_016163845.1_USDA_NRF0903_v1,Fusarium oxysporum f. sp. fragariae,Fusarium oxysporum f. sp. fragariae,NRF0903,NRF0903
GCA_016163825.1_USDA_NRF0995b_v1,Fusarium oxysporum f. sp. fragariae,Fusarium oxysporum f. sp. fragariae,NRF0995b,NRF0995b
GCA_016163905.1_USDA_Nasushiobara1_v1,Fusarium oxysporum f. sp. fragariae,Fusarium oxysporum f. sp. fragariae,Nasushiobara1,Nasushiobara1
GCA_016163805.1_USDA_SK1_v1,Fusarium oxysporum f. sp. fragariae,Fusarium oxysporum f. sp. fragariae,SK1,SK1
GCA_025267615.1_ASM2526761v1,Fusarium oxysporum f. sp. fragariae,Fusarium oxysporum f. sp. fragariae,VPRI44208,VPRI44208
GCA_025267655.1_ASM2526765v1,Fusarium oxysporum f. sp. fragariae,Fusarium oxysporum f. sp. fragariae,VPRI44209,VPRI44209
GCA_025217145.1_ASM2521714v1,Fusarium oxysporum,Fusarium oxysporum,VPRI44271,VPRI44271
GCA_002233915.1_Fogla_G14,Fusarium oxysporum f. sp. gladioli,Fusarium oxysporum f. sp. gladioli,G14,G14
GCA_002233895.1_Fogla_G2,Fusarium oxysporum f. sp. gladioli,Fusarium oxysporum f. sp. gladioli,G2,G2
GCA_002234195.1_Fogla_G76,Fusarium oxysporum,Fusarium oxysporum,G76,G76
GCA_014857105.1_ASM1485710v1,Fusarium oxysporum,Fusarium oxysporum,44,44
GCA_045838055.1_ASM4583805v1,Fusarium oxysporum f. sp. lactucae,Fusarium oxysporum f. sp. lactucae,AJ516,AJ516
GCA_045838095.1_ASM4583809v1,Fusarium oxysporum f. sp. lactucae,Fusarium oxysporum f. sp. lactucae,AJ520,AJ520
GCA_045838035.1_ASM4583803v1,Fusarium oxysporum f. sp. lactucae,Fusarium oxysporum f. sp. lactucae,AJ592,AJ592
GCA_045837975.1_ASM4583797v1,Fusarium oxysporum f. sp. lactucae,Fusarium oxysporum f. sp. lactucae,AJ705,AJ705
GCA_045837925.1_ASM4583792v1,Fusarium oxysporum f. sp. lactucae,Fusarium oxysporum f. sp. lactucae,AJ718,AJ718
GCA_045837815.1_ASM4583781v1,Fusarium oxysporum f. sp. lactucae,Fusarium oxysporum f. sp. lactucae,AJ865,AJ865
GCA_055944345.1_ASM5594434v1,Fusarium oxysporum f. sp. lactucae,Fusarium oxysporum f. sp. lactucae,AT141,AT141
GCA_045786965.1_ASM4578696v1,Fusarium oxysporum f. sp. lactucae,Fusarium oxysporum f. sp. lactucae,Fol321,Fol321
GCA_045786945.1_ASM4578694v1,Fusarium oxysporum f. sp. lactucae,Fusarium oxysporum f. sp. lactucae,Fol621,Fol621
GCA_045786925.1_ASM4578692v1,Fusarium oxysporum f. sp. lactucae,Fusarium oxysporum f. sp. lactucae,Fol621s,Fol621s
GCA_055944325.1_ASM5594432v1,Fusarium oxysporum f. sp. lactucae,Fusarium oxysporum f. sp. lactucae,JCP043,JCP043
GCA_045786735.1_ASM4578673v1,Fusarium oxysporum f. sp. lactucae,Fusarium oxysporum f. sp. lactucae,VSP-0794,VSP-0794
GCA_045786885.1_ASM4578688v1,Fusarium oxysporum,Fusarium oxysporum,VSP-0916,VSP-0916
GCA_002234185.1_Folag_001,Fusarium oxysporum f. sp. lagenariae,Fusarium oxysporum f. sp. lagenariae,01-03008,01-03008
GCA_002234165.1_Folag_002,Fusarium oxysporum f. sp. lagenariae,Fusarium oxysporum f. sp. lagenariae,03-05118,03-05118
GCA_002233875.1_Folag_005,Fusarium oxysporum f. sp. lagenariae,Fusarium oxysporum f. sp. lagenariae,Lag:1-1,Lag 1-1
GCA_002234135.1_Folag_004,Fusarium oxysporum,Fusarium oxysporum,Lag:3-1,Lag 3-1
GCA_002234115.1_Folil_Fol39,Fusarium oxysporum,Fusarium oxysporum,Fol39,Fol39
GCA_012026625.1_EIMB_FOxy_1.0,Fusarium oxysporum f. sp. lini,Fusarium oxysporum f. sp. lini,39,39
GCA_019671095.1_EIMB_FOl_456_1.3,Fusarium oxysporum f. sp. lini,Fusarium oxysporum f. sp. lini,456,456
GCA_019671045.1_EIMB_FOl_476_1.1,Fusarium oxysporum f. sp. lini,Fusarium oxysporum f. sp. lini,476,476
GCA_019670925.1_EIMB_FOl_482_1.4,Fusarium oxysporum f. sp. lini,Fusarium oxysporum f. sp. lini,482,482
GCA_019671085.1_EIMB_FOl_483_1.0,Fusarium oxysporum f. sp. lini,Fusarium oxysporum f. sp. lini,483,483
GCA_019670985.1_EIMB_FOl_525_1.2,Fusarium oxysporum f. sp. lini,Fusarium oxysporum f. sp. lini,525,525
GCA_013423265.1_ASM1342326v1,Fusarium oxysporum f. sp. lini,Fusarium oxysporum f. sp. lini,F282,F282
GCA_013423255.1_ASM1342325v1,Fusarium oxysporum f. sp. lini,Fusarium oxysporum f. sp. lini,F287,F287
GCA_013423235.1_ASM1342323v1,Fusarium oxysporum f. sp. lini,Fusarium oxysporum f. sp. lini,F324,F324
GCA_013423225.1_ASM1342322v1,Fusarium oxysporum,Fusarium oxysporum,F329,F329
GCA_002234105.1_Foluf_001,Fusarium oxysporum f. sp. luffae,Fusarium oxysporum f. sp. luffae,Fol-114,Fol-114
GCA_002233855.1_Foluf_002,Fusarium oxysporum,Fusarium oxysporum,Fol-167,Fol-167
GCA_001703355.1_Fol002,Fusarium oxysporum f. sp. lycopersici,Fusarium oxysporum f. sp. lycopersici,Fol002,Fol002
GCA_001702875.1_Fol004,Fusarium oxysporum f. sp. lycopersici,Fusarium oxysporum f. sp. lycopersici,Fol004,Fol004
GCA_001702905.1_Fol007,Fusarium oxysporum f. sp. lycopersici,Fusarium oxysporum f. sp. lycopersici,Fol007,Fol007
GCA_001702945.1_Fol014,Fusarium oxysporum f. sp. lycopersici,Fusarium oxysporum f. sp. lycopersici,Fol014,Fol014
GCA_001702995.1_Fol016,Fusarium oxysporum f. sp. lycopersici,Fusarium oxysporum f. sp. lycopersici,Fol016,Fol016
GCA_001702955.1_Fol018,Fusarium oxysporum f. sp. lycopersici,Fusarium oxysporum f. sp. lycopersici,Fol018,Fol018
GCA_001702935.1_Fol026,Fusarium oxysporum f. sp. lycopersici,Fusarium oxysporum f. sp. lycopersici,Fol026,Fol026
GCA_001703025.2_ASM170302v2,Fusarium oxysporum f. sp. lycopersici,Fusarium oxysporum f. sp. lycopersici,Fol029,Fol029
GCA_001703015.1_Fol038,Fusarium oxysporum f. sp. lycopersici,Fusarium oxysporum f. sp. lycopersici,Fol038,Fol038
GCA_001703035.1_Fol069,Fusarium oxysporum f. sp. lycopersici,Fusarium oxysporum f. sp. lycopersici,Fol069,Fol069
GCA_001703065.1_Fol072,Fusarium oxysporum f. sp. lycopersici,Fusarium oxysporum f. sp. lycopersici,Fol072,Fol072
GCA_001703085.1_Fol073,Fusarium oxysporum f. sp. lycopersici,Fusarium oxysporum f. sp. lycopersici,Fol073,Fol073
GCA_001703105.1_Fol074,Fusarium oxysporum f. sp. lycopersici,Fusarium oxysporum f. sp. lycopersici,Fol074,Fol074
GCA_001703135.1_Fol075,Fusarium oxysporum f. sp. lycopersici,Fusarium oxysporum f. sp. lycopersici,Fol075,Fol075
GCA_021018635.1_ASM2101863v1,Fusarium oxysporum f. sp. lycopersici,Fusarium oxysporum f. sp. lycopersici,Fol59,Fol59
GCA_051107395.1_ASM5110739v1,Fusarium oxysporum f. sp. lycopersici,Fusarium oxysporum f. sp. lycopersici,RR23I-1.2,RR23I-1.2
GCA_025216745.1_ASM2521674v1,Fusarium oxysporum f. sp. lycopersici,Fusarium oxysporum f. sp. lycopersici,VPRI44099,VPRI44099
GCA_025216765.1_ASM2521676v1,Fusarium oxysporum f. sp. lycopersici,Fusarium oxysporum f. sp. lycopersici,VPRI44100,VPRI44100
GCA_025216785.1_ASM2521678v1,Fusarium oxysporum f. sp. lycopersici,Fusarium oxysporum f. sp. lycopersici,VPRI44107,VPRI44107
GCA_025217125.1_ASM2521712v1,Fusarium oxysporum f. sp. lycopersici,Fusarium oxysporum f. sp. lycopersici,VPRI44272,VPRI44272
GCA_025217165.1_ASM2521716v1,Fusarium oxysporum f. sp. lycopersici,Fusarium oxysporum f. sp. lycopersici,VPRI44273,VPRI44273
GCA_025217105.1_ASM2521710v1,Fusarium oxysporum f. sp. lycopersici,Fusarium oxysporum f. sp. lycopersici,VPRI44274,VPRI44274
GCA_025217065.1_ASM2521706v1,Fusarium oxysporum f. sp. lycopersici,Fusarium oxysporum f. sp. lycopersici,VPRI44275,VPRI44275
GCA_025217085.1_ASM2521708v1,Fusarium oxysporum f. sp. lycopersici,Fusarium oxysporum f. sp. lycopersici,VPRI44276,VPRI44276
GCA_025217025.1_ASM2521702v1,Fusarium oxysporum f. sp. lycopersici,Fusarium oxysporum f. sp. lycopersici,VPRI44277,VPRI44277
GCA_003977725.1_FolCA3_D11_v1,Fusarium oxysporum,Fusarium oxysporum,race 3,race 3
GCF_000149955.1_ASM14995v2,Fusarium oxysporum,Fusarium oxysporum,4287,4287
GCA_000259975.2_FO_MN25_V1,Fusarium oxysporum,Fusarium oxysporum,MN25,MN25
GCA_009755825.1_UMASS_Fom_PHW726_1,Fusarium oxysporum f. sp. matthiolae,Fusarium oxysporum f. sp. matthiolae,PHW726,PHW726
GCA_020796175.1_ASM2079617v1,Fusarium oxysporum,Fusarium oxysporum,Stocks4,Stocks4
GCA_001652425.1_ASM165242v1,Fusarium oxysporum f. sp. medicaginis,Fusarium oxysporum f. sp. medicaginis,Fom-5190a,Fom-5190a
GCA_025266925.1_ASM2526692v1,Fusarium oxysporum f. sp. medicaginis,Fusarium oxysporum f. sp. medicaginis,VPRI44256,VPRI44256
GCA_025266945.1_ASM2526694v1,Fusarium oxysporum,Fusarium oxysporum,VPRI44257,VPRI44257
GCA_001888865.1_ASM188886v1,Fusarium oxysporum f. sp. melongenae,Fusarium oxysporum f. sp. melongenae,14004,14004
GCA_002234085.1_Fomel_001,Fusarium oxysporum,Fusarium oxysporum,J-71,J-71
GCA_020976355.1_ASM2097635v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,10390,10390
GCA_020976505.1_ASM2097650v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,18L,18L
GCA_020976375.1_ASM2097637v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,50798,50798
GCA_020976345.1_ASM2097634v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,660A-17,660A-17
GCA_020975995.1_ASM2097599v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,ATCC 32669,ATCC 32669
GCA_020976275.1_ASM2097627v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,Busherh-2s,Busherh-2s
GCA_020976025.1_ASM2097602v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,D-Oleon-8,D-Oleon-8
GCA_001703215.1_Fom004,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,Fom004,Fom004
GCA_001703205.2_UvA_Fom005,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,Fom005,Fom005
GCA_001703255.1_Fom006,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,Fom006,Fom006
GCA_001703265.1_Fom009,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,Fom009,Fom009
GCA_001703305.1_Fom010,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,Fom010,Fom010
GCA_001703295.1_Fom011,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,Fom011,Fom011
GCA_001703345.1_Fom012,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,Fom012,Fom012
GCA_020976035.1_ASM2097603v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,Fom0125,Fom0125
GCA_001703335.1_Fom013,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,Fom013,Fom013
GCA_001703365.1_Fom016,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,Fom016,Fom016
GCA_020976255.1_ASM2097625v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,FomGol,FomGol
GCA_020976485.1_ASM2097648v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,I-17,I-17
GCA_020976245.1_ASM2097624v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,I1-1,I1-1
GCA_020975805.1_ASM2097580v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,ICMP 8357,ICMP 8357
GCA_020975845.1_ASM2097584v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,JCM 9288,JCM 9288
GCA_020975825.1_ASM2097582v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,JCM 9289,JCM 9289
GCA_020976455.1_ASM2097645v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,KT2a,KT2a
GCA_020976445.1_ASM2097644v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,Kavar 22,Kavar 22
GCA_020976235.1_ASM2097623v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,Khaf1,Khaf1
GCA_020976195.1_ASM2097619v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,Mah9a,Mah9a
GCA_020975975.1_ASM2097597v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,NRRL 22521,NRRL 22521
GCA_020975915.1_ASM2097591v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,NRRL 26172,NRRL 26172
GCA_020975875.1_ASM2097587v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,NRRL 26174,NRRL 26174
GCA_020976425.1_ASM2097642v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,NYFom3,NYFom3
GCA_020976145.1_ASM2097614v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,NYFom62,NYFom62
GCA_020976175.1_ASM2097617v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,Nasr1,Nasr1
GCA_020976435.1_ASM2097643v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,P13,P13
GCA_020976525.1_ASM2097652v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,Pathtah,Pathtah
GCA_020976165.1_ASM2097616v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,R12-13,R12-13
GCA_020976115.1_ASM2097611v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,Seif3a,Seif3a
GCA_020976095.1_ASM2097609v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,T61-1,T61-1
GCA_020975985.1_ASM2097598v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,TST,TST
GCA_020976085.1_ASM2097608v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,Tai3,Tai3
GCA_020976075.1_ASM2097607v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,Taip2a,Taip2a
GCA_025216685.1_ASM2521668v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,VPRI44101,VPRI44101
GCA_025216725.1_ASM2521672v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,VPRI44102,VPRI44102
GCA_025216705.1_ASM2521670v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,VPRI44103,VPRI44103
GCA_025216665.1_ASM2521666v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,VPRI44104,VPRI44104
GCA_025216645.1_ASM2521664v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,VPRI44105,VPRI44105
GCA_025216605.1_ASM2521660v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,VPRI44106,VPRI44106
GCA_025216805.1_ASM2521680v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,VPRI44108,VPRI44108
GCA_025216565.1_ASM2521656v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,VPRI44109,VPRI44109
GCA_025216625.1_ASM2521662v1,Fusarium oxysporum f. sp. melonis,Fusarium oxysporum f. sp. melonis,VPRI44292,VPRI44292
GCA_020976365.1_ASM2097636v1,Fusarium oxysporum,Fusarium oxysporum,Yazd2,Yazd2
GCA_000260495.2_FO_melonis_V1,Fusarium oxysporum,Fusarium oxysporum,26406,26406
GCA_002233795.1_Fomom_004,Fusarium oxysporum f. sp. momordicae,Fusarium oxysporum f. sp. momordicae,90NF2-1,90NF2-1
GCA_002233865.1_Fomom_001,Fusarium oxysporum,Fusarium oxysporum,NRRL26413,NRRL26413
GCA_016165945.1_USDA_GL1804_v1,Fusarium oxysporum f. sp. mori,Fusarium oxysporum f. sp. mori,GL1804,GL1804
GCA_051622415.1_ASM5162241v1,Fusarium oxysporum f. sp. mori,Fusarium oxysporum f. sp. mori,RF12,RF12
GCA_051622595.1_ASM5162259v1,Fusarium oxysporum f. sp. mori,Fusarium oxysporum f. sp. mori,RF2,RF2
GCA_051622515.1_ASM5162251v1,Fusarium oxysporum f. sp. mori,Fusarium oxysporum f. sp. mori,RF4,RF4
GCA_051622495.1_ASM5162249v1,Fusarium oxysporum,Fusarium oxysporum,RF7,RF7
GCA_045837865.1_ASM4583786v1,Fusarium oxysporum f. sp. narcissi,Fusarium oxysporum f. sp. narcissi,AJ275,AJ275
GCA_004141715.1_FoN_N139_v1,Fusarium oxysporum f. sp. narcissi,Fusarium oxysporum f. sp. narcissi,N139,N139
GCA_002233775.1_Fonar_Na5,Fusarium oxysporum,Fusarium oxysporum,Na5,Na5
GCA_002234045.1_Fonic_003,Fusarium oxysporum f. sp. nicotianae,Fusarium oxysporum f. sp. nicotianae,10913,10913
GCA_002234055.1_Fonic_001,Fusarium oxysporum f. sp. nicotianae,Fusarium oxysporum f. sp. nicotianae,FON-1,FON-1
GCA_002234015.1_Fonic_012,Fusarium oxysporum f. sp. nicotianae,Fusarium oxysporum f. sp. nicotianae,Ft-1512,Ft-1512
GCA_002233785.1_Fonic_010,Fusarium oxysporum,Fusarium oxysporum,Ft-Rob,Ft-Rob
GCA_019593455.1_Fon-110407-3-1-1_Nanopore_SRA,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,110407-3-1-1,110407-3-1-1
GCA_019593485.1_ASM1959348v1,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,140507A,140507A
GCA_019721145.1_ASM1972114v1,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,140508B,140508B
GCA_019721165.1_ASM1972116v1,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,150319,150319
GCA_019721175.1_ASM1972117v1,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,150515-1,150515-1
GCA_019593445.1_ASM1959344v1,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,150523,150523
GCA_019593505.1_ASM1959350v1,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,150524,150524
GCA_026212305.1_COM_1000,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,COM,COM
GCA_001702745.1_Fon002,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,Fon002,Fon002
GCA_001702505.1_ASM170250v1,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,Fon005,Fon005
GCA_001702785.1_Fon010,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,Fon010,Fon010
GCA_001702775.1_Fon013,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,Fon013,Fon013
GCA_001702795.1_Fon015,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,Fon015,Fon015
GCA_001702715.1_Fon019,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,Fon019,Fon019
GCA_001702805.1_Fon020,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,Fon020,Fon020
GCA_001702865.1_Fon021,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,Fon021,Fon021
GCA_001702845.1_Fon037,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,Fon037,Fon037
GCA_026260275.1_HAR_MEGAHIT_1000,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,HAR,HAR
GCA_026260535.1_PRU_MEGAHIT_1000,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,PRU,PRU
GCA_014602815.1_ASM1460281v1,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,R1,R1
GCA_014602775.1_ASM1460277v1,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,R2,R2
GCA_014602795.1_ASM1460279v1,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,R3,R3
GCA_027475055.1_ASM2747505v1,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,STO,STO
GCA_025266905.1_ASM2526690v1,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,VPRI44254,VPRI44254
GCA_025266885.1_ASM2526688v1,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,VPRI44255,VPRI44255
GCA_025216585.1_ASM2521658v1,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,VPRI44293,VPRI44293
GCA_025216325.1_ASM2521632v1,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,VPRI44305,VPRI44305
GCA_025216285.1_ASM2521628v1,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,VPRI44306,VPRI44306
GCA_025216305.1_ASM2521630v1,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,VPRI44307,VPRI44307
GCA_025216245.1_ASM2521624v1,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,VPRI44308,VPRI44308
GCA_025216265.1_ASM2521626v1,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,VPRI44309,VPRI44309
GCA_025216225.1_ASM2521622v1,Fusarium oxysporum f. sp. niveum,Fusarium oxysporum f. sp. niveum,VPRI44310,VPRI44310
GCA_027475405.1_ASM2747540v1,Fusarium oxysporum,Fusarium oxysporum,W2,W2
GCA_025267645.1_ASM2526764v1,Fusarium oxysporum f. sp. passiflorae,Fusarium oxysporum f. sp. passiflorae,VPRI44203,VPRI44203
GCA_025176785.1_ASM2517678v1,Fusarium oxysporum f. sp. passiflorae,Fusarium oxysporum f. sp. passiflorae,VPRI44269,VPRI44269
GCA_025217185.1_ASM2521718v1,Fusarium oxysporum f. sp. passiflorae,Fusarium oxysporum f. sp. passiflorae,VPRI44270,VPRI44270
GCA_025216365.1_ASM2521636v1,Fusarium oxysporum,Fusarium oxysporum,VPRI44302,VPRI44302
GCA_054130785.1_ASM5413078v1,Fusarium oxysporum f. sp. phaseoli,Fusarium oxysporum f. sp. phaseoli,FOP-SP1,FOP-SP1
GCA_054643655.1_ASM5464365v1,Fusarium oxysporum,Fusarium oxysporum,LM-2,LM-2
GCA_017654645.1_ASM1765464v1,Fusarium oxysporum f. sp. physali,Fusarium oxysporum f. sp. physali,A72,A72
GCA_017654635.1_ASM1765463v1,Fusarium oxysporum f. sp. physali,Fusarium oxysporum f. sp. physali,B01,B01
GCA_017654655.1_ASM1765465v1,Fusarium oxysporum f. sp. physali,Fusarium oxysporum f. sp. physali,B04,B04
GCA_017654665.1_ASM1765466v1,Fusarium oxysporum f. sp. physali,Fusarium oxysporum f. sp. physali,B117,B117
GCA_016906485.1_Foph_MAP5,Fusarium oxysporum,Fusarium oxysporum,MAP5,MAP5
GCA_000260075.2_FO_HDV247_V1,Fusarium oxysporum,Fusarium oxysporum,HDV247,HDV247
GCA_001702695.2_ASM170269v2,Fusarium oxysporum f. sp. radicis-cucumerinum,Fusarium oxysporum f. sp. radicis-cucumerinum,Forc016,Forc016
GCA_001702725.1_Forc024,Fusarium oxysporum f. sp. radicis-cucumerinum,Fusarium oxysporum f. sp. radicis-cucumerinum,Forc024,Forc024
GCA_001702645.1_Forc031,Fusarium oxysporum f. sp. radicis-cucumerinum,Fusarium oxysporum f. sp. radicis-cucumerinum,Forc031,Forc031
GCA_048164945.1_ASM4816494v1,Fusarium oxysporum,Fusarium oxysporum,V03-2g,V03-2g
GCA_048165035.1_ASM4816503v1,Fusarium oxysporum,Fusarium oxysporum,ZUM2407,ZUM2407
GCA_000260155.3_FO_CL57_V1,Fusarium oxysporum,Fusarium oxysporum,26381,26381
GCA_019157295.1_ASM1915729v1,Fusarium oxysporum,Fusarium oxysporum,Tf1208,Tf1208
GCA_019157275.1_ASM1915727v1,Fusarium oxysporum,Fusarium oxysporum,Tf1262,Tf1262
GCA_000260235.2_FO_PHW815_V1,Fusarium oxysporum,Fusarium oxysporum,54005,54005
GCA_017979615.1_ASM1797961v1,Fusarium oxysporum,Fusarium oxysporum,MR4003,MR4003
GCA_013347635.1_WSU_Fus001,Fusarium oxysporum f. sp. spinaciae,Fusarium oxysporum f. sp. spinaciae,Fus001,Fus001
GCA_013347515.1_WSU_Fus057,Fusarium oxysporum f. sp. spinaciae,Fusarium oxysporum f. sp. spinaciae,Fus057,Fus057
GCA_013347525.1_WSU_Fus059,Fusarium oxysporum f. sp. spinaciae,Fusarium oxysporum f. sp. spinaciae,Fus059,Fus059
GCA_013347535.2_ASM1334753v2,Fusarium oxysporum f. sp. spinaciae,Fusarium oxysporum f. sp. spinaciae,Fus167,Fus167
GCA_013347495.1_WSU_Fus173,Fusarium oxysporum f. sp. spinaciae,Fusarium oxysporum f. sp. spinaciae,Fus173,Fus173
GCA_013347345.2_ASM1334734v2,Fusarium oxysporum f. sp. spinaciae,Fusarium oxysporum f. sp. spinaciae,Fus254,Fus254
GCA_013347505.1_WSU_Fus322,Fusarium oxysporum f. sp. spinaciae,Fusarium oxysporum f. sp. spinaciae,Fus322,Fus322
